Year;Location_Code;District;Municipality;Parish;Sex;Age;Population;Notes;Population_corrected
2021;182316;Viseu;Viseu;Lordosa;M;25 - 64 year old;361;;361
2021;30334;Braga;Braga;Pedralva;F;65 and older;109;;109
2021;140208;Santarém;Alcanena;Monsanto;M;25 - 64 year old;186;;186
2021;90761;Guarda;Guarda;União de freguesias de Avelãs de Ambom e Rocamondo;M;25 - 64 year old;47;;47
2021;30917;Braga;Póvoa de Lanhoso;Monsul;M;15 - 24 year old;36;;36
2021;81303;Faro;Silves;Armação de Pêra;F;25 - 64 year old;1714;;1714
2021;430207;Ilha Terceira;Vila da Praia da Vitória;Praia da Vitória (Santa Cruz);F;15 - 24 year old;333;;333
2021;420324;Ilha de São Miguel;Ponta Delgada;Pilar da Bretanha;M;25 - 64 year old;166;;166
2021;160301;Viana do Castelo;Melgaço;Alvaredo;M;25 - 64 year old;103;;103
2021;70411;Évora;Estremoz;São Domingos de Ana Loura;F;0 - 14 year old;10;;10
2021;420310;Ilha de São Miguel;Ponta Delgada;Ginetes;M;25 - 64 year old;323;;323
2021;131125;Porto;Penafiel;Perozelo;M;15 - 24 year old;83;;83
2021;130905;Porto;Paços de Ferreira;Ferreira;M;65 and older;265;;265
2021;61126;Coimbra;Oliveira do Hospital;União das freguesias de Santa Ovaia e Vila Pouca da Beira;F;15 - 24 year old;37;;37
2021;182338;Viseu;Viseu;Freguesia de Fail e Vila Chã de Sá;M;0 - 14 year old;185;;185
2021;21008;Beja;Moura;Sobral da Adiça;M;65 and older;101;;101
2021;31255;Braga;Vila Nova de Famalicão;União das freguesias de Gondifelos, Cavalões e Outiz;M;65 and older;369;;369
2021;420317;Ilha de São Miguel;Ponta Delgada;Rosto do Cão (Livramento);M;0 - 14 year old;338;;338
2021;440104;Ilha da Graciosa;Santa Cruz da Graciosa;Santa Cruz da Graciosa;F;0 - 14 year old;117;;117
2021;61103;Coimbra;Oliveira do Hospital;Avô;F;0 - 14 year old;17;;17
2021;80808;Faro;Loulé;Loulé (São Clemente);F;25 - 64 year old;5185;;5185
2021;30363;Braga;Braga;União das freguesias de Arentim e Cunha;M;65 and older;144;;144
2021;131607;Porto;Vila do Conde;Fajozes;M;65 and older;149;;149
2021;171220;Vila Real;Valpaços;Santa Valha;M;0 - 14 year old;9;;9
2021;160734;Viana do Castelo;Ponte de Lima;Poiares;F;0 - 14 year old;57;;57
2021;50315;Castelo Branco;Covilhã;Peraboa;M;0 - 14 year old;37;;37
2021;170316;Vila Real;Chaves;Mairos;M;25 - 64 year old;60;;60
2021;31125;Braga;Vieira do Minho;União das freguesias de Ruivães e Campos;M;65 and older;150;;150
2021;30283;Braga;Barcelos;Várzea;F;25 - 64 year old;568;;568
2021;310603;Ilha da Madeira;Porto Moniz;Ribeira da Janela;F;25 - 64 year old;50;;50
2021;40201;Bragança;Bragança;Alfaião;F;25 - 64 year old;32;;32
2021;110618;Lisboa;Lisboa;Lumiar;F;15 - 24 year old;2560;;2560
2021;420210;Ilha de São Miguel;Nordeste;São Pedro de Nordestinho;F;25 - 64 year old;67;;67
2021;31210;Braga;Vila Nova de Famalicão;Castelões;M;15 - 24 year old;137;;137
2021;181714;Viseu;Sátão;União das freguesias de Romãs, Decermilo e Vila Longa;F;15 - 24 year old;44;;44
2021;121210;Portalegre;Nisa;Tolosa;F;25 - 64 year old;164;;164
2021;40534;Bragança;Macedo de Cavaleiros;Vale de Prados;F;65 and older;100;;100
2021;111203;Lisboa;Sobral de Monte Agraço;Sobral de Monte Agraço;M;15 - 24 year old;197;;197
2021;131628;Porto;Vila do Conde;Vila do Conde;M;65 and older;2422;;2422
2021;141604;Santarém;Santarém;Alcanede;F;25 - 64 year old;954;;954
2021;11702;Aveiro;Sever do Vouga;Couto de Esteves;F;15 - 24 year old;28;;28
2021;131637;Porto;Vila do Conde;União das freguesias de Vilar e Mosteiró;F;65 and older;331;;331
2021;81411;Faro;Tavira;União das freguesias de Luz de Tavira e Santo Estêvão;F;65 and older;790;;790
2021;181905;Viseu;Tabuaço;Desejosa;M;25 - 64 year old;35;;35
2021;430111;Ilha Terceira;Angra do Heroísmo;Raminho;F;25 - 64 year old;123;;123
2021;91212;Guarda;Seia;Sandomil;F;25 - 64 year old;161;;161
2021;430101;Ilha Terceira;Angra do Heroísmo;Altares;M;25 - 64 year old;236;;236
2021;90219;Guarda;Almeida;Nave de Haver;F;65 and older;122;;122
2021;100617;Leiria;Caldas da Rainha;União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório;F;25 - 64 year old;5155;;5155
2021;31019;Braga;Terras de Bouro;União das freguesias de Chorense e Monte;F;25 - 64 year old;126;;126
2021;131728;Porto;Vila Nova de Gaia;União das freguesias de Pedroso e Seixezelo;M;15 - 24 year old;1110;;1110
2021;181819;Viseu;Sernancelhe;União das freguesias de Fonte Arcada e Escurquela;F;65 and older;90;;90
2021;150315;Setúbal;Almada;União das freguesias de Laranjeiro e Feijó;M;15 - 24 year old;2260;;2260
2021;130532;Porto;Lousada;União das freguesias de Silvares, Pias, Nogueira e Alvarenga;F;15 - 24 year old;410;;410
2021;180519;Viseu;Lamego;Samodães;F;25 - 64 year old;38;;38
2021;10317;Aveiro;Anadia;União das freguesias de Arcos e Mogofores;M;25 - 64 year old;1525;;1525
2021;150106;Setúbal;Alcácer do Sal;Comporta;F;0 - 14 year old;59;;59
2021;51101;Castelo Branco;Vila Velha de Ródão;Fratel;M;25 - 64 year old;87;;87
2021;111009;Lisboa;Oeiras;Porto Salvo;M;25 - 64 year old;3659;;3659
2021;101505;Leiria;Pombal;Carriço;F;25 - 64 year old;874;;874
